variant,threshold,file_bpp,psnr_db,mse,ssim,omitted_fraction,omitted_error_rate,range_file_bpp,file_bpp_ci95,mse_ci95,val_bce_nats,val_bit_accuracy,val_ece,parameters,train_images,optimizer_steps,train_seconds
n00032,0.5,0.265625,11.294349360368622,4826.645747070313,0.137168528147801,1.0,0.5025396728515625,0.296875,"[0.265625, 0.265625]","[4496.437991577149, 5164.420474365234]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.55,0.2734375,7.234323073670464,12292.721811523437,0.12687313033689165,0.9996978759765625,0.48861625063724695,0.296875,"[0.2734375, 0.2734375]","[11152.23048803711, 13463.188015991213]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.6,0.2762109375,7.303143473081422,12099.460708007813,0.1271479012056066,0.999207763671875,0.4886329623933023,0.300078125,"[0.2755859375, 0.2769140625]","[10944.362376586914, 13274.171303710937]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.65,0.3911328125,9.120083539540067,7962.913662109375,0.12501544170143591,0.9847808837890625,0.472732287344318,0.4155859375,"[0.35995800781250004, 0.4248466796875]","[6955.062985839844, 8874.601357177735]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.7,0.467578125,9.15361272788374,7901.673637695312,0.11006921296055698,0.9751666259765625,0.46765407804780956,0.4948828125,"[0.421634765625, 0.5106923828125]","[7001.23972668457, 8813.737434204102]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.75,0.6891796875,9.481471292504922,7327.1187744140625,0.1189292763427148,0.947459716796875,0.46149693555057664,0.7271484375,"[0.59773046875, 0.783208984375]","[6474.087259399414, 8162.066049316406]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.8,1.1780078125,9.888610004340636,6671.436557617188,0.13365144778201665,0.8863397216796876,0.4555925956786319,1.2572265625,"[1.0402607421875, 1.3363779296875]","[5896.72497680664, 7464.617062988281]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.85,2.7410546875,11.425767237791371,4682.77873046875,0.20352479539525162,0.690963134765625,0.41360900435837233,2.9008203125,"[2.5391982421874997, 2.9613837890625]","[3999.4133585205077, 5394.175335083007]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.9,5.07296875,13.327082330257854,3022.5404931640624,0.4618759771253804,0.399525146484375,0.28768435429021877,5.111640625,"[4.81440625, 5.3102744140625004]","[2358.897384887695, 3735.47533972168]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
n00032,0.925,5.6808984375,14.293215102296744,2419.6851025390624,0.5976656412084966,0.3235565185546875,0.24284164756703733,5.535390625,"[5.4141708984375, 5.931677734375]","[1756.1991240234377, 3120.61471887207]",0.5371628559660167,0.7013092041015625,0.04205193145975273,161505,32,64000,1843.5780706000005
