threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,3881,0.4737548828125,4396.728515625,52.48828125,11.699507107601484,0.16298524230848435,0.4737548828125,0.16855141874999902,0.16513288828124928,0,8,,6,2.109536082474227,10,2036,,4396.728515625,4,38,0.296875,0.1585932343749903,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,4317,0.5269775390625,6957.8115234375,71.7568359375,9.706077006759013,0.06757391499125322,0.5269775390625,0.16855141874999902,0.16513288828124928,0,8,,0,1.8978220574606117,16,1955,,6957.8115234375,4,38,0.296875,0.1585932343749903,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,4794,0.585205078125,8562.7666015625,85.9443359375,8.804662544071384,0.06432339915158722,0.585205078125,0.16855141874999902,0.16513288828124928,0,8,,0,1.7089505528896307,16,1853,,8562.7666015625,4,38,0.296875,0.1585932343749903,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,4083,0.4984130859375,8484.5263671875,84.1533203125,8.844527572145823,0.06882215583450009,0.4984130859375,0.16855141874999902,0.16513288828124928,0,8,,1,2.006124448799608,15,2508,,8484.5263671875,4,38,0.296875,0.1585932343749903,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4574,0.558349609375,7652.1953125,78.83203125,9.292943145598965,0.14885328033640777,0.558349609375,0.16855141874999902,0.16513288828124928,0,8,,0,1.791165536846709,21,1868,,7652.1953125,4,38,0.296875,0.1585932343749903,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4439,0.5418701171875,5727.9111328125,66.2275390625,10.55084089492089,0.07010376856646354,0.5418701171875,0.16855141874999902,0.16513288828124928,0,8,,5,1.8445245606128886,15,1840,,5727.9111328125,4,38,0.296875,0.1585932343749903,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,5009,0.6114501953125,6129.6923828125,74.2802734375,10.256416807702566,0.14812516010601728,0.6114501953125,0.16855141874999902,0.16513288828124928,0,8,,0,1.6351837060702876,16,1737,,6129.6923828125,4,38,0.296875,0.1585932343749903,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4086,0.498779296875,6660.5576171875,66.3271484375,9.89569771347743,0.06609834906632026,0.498779296875,0.16855141874999902,0.16513288828124928,0,8,,2,2.0046511627906978,12,1895,,6660.5576171875,4,38,0.296875,0.1585932343749903,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,4415,0.5389404296875,6275.9912109375,70.0458984375,10.15398034149955,0.12330872439487028,0.5389404296875,0.16855141874999902,0.16513288828124928,0,8,,0,1.8550067965564114,20,1883,,6275.9912109375,4,38,0.296875,0.1585932343749903,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,3831,0.4676513671875,5550.21484375,60.83203125,10.687705662769119,0.09342090319220889,0.4676513671875,0.16855141874999902,0.16513288828124928,0,8,,1,2.1381201044386424,10,2005,,5550.21484375,4,38,0.296875,0.1585932343749903,True
