-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 bitlaya_step        22.25%      22.614ms        96.86%      98.426ms     768.956us           128  
                    aten::gru         8.98%       9.130ms        42.99%      43.686ms     341.298us           128  
                  aten::addmm         7.42%       7.541ms        11.35%      11.535ms      18.024us           640  
           aten::index_select         6.38%       6.480ms        15.33%      15.582ms      30.434us           512  
                 aten::select         4.63%       4.709ms         5.56%       5.645ms       3.675us          1536  
                  aten::empty         3.99%       4.050ms         5.12%       5.201ms       3.384us          1537  
                 aten::linear         3.76%       3.820ms        18.85%      19.154ms      29.928us           640  
                  aten::slice         3.54%       3.595ms         4.16%       4.231ms       2.755us          1536  
             aten::as_strided         2.80%       2.841ms         2.80%       2.841ms       0.529us          5376  
          decision_and_update         2.72%       2.765ms         3.14%       3.192ms      24.936us           128  
                 aten::narrow         2.68%       2.727ms         6.85%       6.958ms       4.530us          1536  
                 aten::expand         2.58%       2.619ms         3.04%       3.085ms       3.012us          1024  
              aten::embedding         2.57%       2.613ms        18.30%      18.598ms      36.324us           512  
           aten::unsafe_split         1.93%       1.960ms         8.78%       8.918ms      17.418us           512  
                      aten::t         1.74%       1.768ms         3.25%       3.307ms       5.167us           640  
                  aten::fill_         1.74%       1.767ms         1.74%       1.767ms       0.766us          2305  
                  aten::copy_         1.70%       1.725ms         1.70%       1.725ms       2.695us           640  
              aten::transpose         1.41%       1.437ms         1.86%       1.892ms       2.464us           768  
                  aten::stack         1.41%       1.436ms         2.42%       2.459ms       6.405us           384  
              aten::unsqueeze         1.39%       1.409ms         1.64%       1.671ms       4.352us           384  
                 aten::arange         1.35%       1.373ms         4.90%       4.977ms      19.441us           256  
              aten::remainder         1.34%       1.359ms         1.34%       1.359ms       5.309us           256  
                    aten::cat         1.24%       1.264ms         1.24%       1.264ms       2.469us           512  
                   aten::add_         1.22%       1.238ms         1.22%       1.238ms       1.612us           768  
                   aten::view         0.95%     969.817us         0.95%     969.817us       0.689us          1408  
           aten::floor_divide         0.88%     899.117us         1.51%       1.539ms       6.013us           256  
                aten::resize_         0.80%     812.816us         1.19%       1.210ms       9.452us           128  
               aten::sigmoid_         0.67%     684.812us         0.67%     684.812us       1.338us           512  
                   aten::mul_         0.67%     684.310us         0.67%     684.310us       1.337us           512  
           aten::unsafe_chunk         0.67%     683.017us         9.45%       9.601ms      18.752us           512  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 101.618ms
