threshold,image_index,dataset_index,original_bytes,payload_bits,payload_bytes,header_bytes,file_bytes,file_bpp,payload_bpp,predicted_bits,omitted_fraction,incorrect_omitted_predictions,omitted_error_rate,mse,mae,psnr_db,ssim,bit_error_rate,encode_seconds,decode_seconds,raw_payload_bytes,zlib_payload_bytes,payload_zlib_to_raw_ratio,first_incorrect_omission,mean_gap_between_errors,max_error_run,error_runs,mse_before_first_error_pixel,mse_after_first_error_pixel,range_payload_bytes,range_file_bytes,range_file_bpp,range_decode_seconds,encoder_decoder_equal
0.5,0,712,1024,0,0,34,34,0.265625,0.0,8192,1.0,4425,0.5401611328125,21172.3291015625,138.8486328125,4.873117248457825,0.13755180890769533,0.5401611328125,0.14831124921875016,0.14772242343750008,0,8,,1,1.8512658227848102,12,2100,,21172.3291015625,4,38,0.296875,0.1571689203125004,True
0.5,1,24774,1024,0,0,34,34,0.265625,0.0,8192,1.0,4245,0.5181884765625,26143.845703125,152.4921875,3.957108891459105,0.05301786015787177,0.5181884765625,0.14831124921875016,0.14772242343750008,0,8,,0,1.930018850141376,8,2200,,26143.845703125,4,38,0.296875,0.1571689203125004,True
0.5,2,45142,1024,0,0,34,34,0.265625,0.0,8192,1.0,4366,0.532958984375,31329.744140625,172.56640625,3.1712351270718946,0.04779930276716668,0.532958984375,0.14831124921875016,0.14772242343750008,0,8,,0,1.8765177548682703,8,2264,,31329.744140625,4,38,0.296875,0.1571689203125004,True
0.5,3,27119,1024,0,0,34,34,0.265625,0.0,8192,1.0,2625,0.3204345703125,13513.76171875,72.80078125,6.823041039039617,0.07152355053847453,0.3204345703125,0.14831124921875016,0.14772242343750008,0,8,,7,3.1185213414634148,35,1287,,13513.76171875,4,38,0.296875,0.1571689203125004,True
0.5,4,21139,1024,0,0,34,34,0.265625,0.0,8192,1.0,4544,0.5546875,29424.7900390625,166.9052734375,3.4436698825479644,0.11223758753548008,0.5546875,0.14831124921875016,0.14772242343750008,0,8,,0,1.8029936165529385,8,2191,,29424.7900390625,4,38,0.296875,0.1571689203125004,True
0.5,5,19129,1024,0,0,34,34,0.265625,0.0,8192,1.0,4179,0.5101318359375,22889.015625,141.037109375,4.5345324524986825,0.053422650701196256,0.5101318359375,0.14831124921875016,0.14772242343750008,0,8,,1,1.9602680708472953,8,2253,,22889.015625,4,38,0.296875,0.1571689203125004,True
0.5,6,6433,1024,0,0,34,34,0.265625,0.0,8192,1.0,4213,0.5142822265625,27157.408203125,162.8046875,3.7919204064939094,0.11358752770034268,0.5142822265625,0.14831124921875016,0.14772242343750008,0,8,,0,1.944207027540361,8,2397,,27157.408203125,4,38,0.296875,0.1571689203125004,True
0.5,7,38854,1024,0,0,34,34,0.265625,0.0,8192,1.0,4336,0.529296875,25399.05078125,149.7734375,4.082628744908194,0.050950811262203285,0.529296875,0.14831124921875016,0.14772242343750008,0,8,,1,1.8892733564013842,8,2142,,25399.05078125,4,38,0.296875,0.1571689203125004,True
0.5,8,22489,1024,0,0,34,34,0.265625,0.0,8192,1.0,4337,0.5294189453125,26219.33203125,156.736328125,3.9445873754273264,0.09840281125250701,0.5294189453125,0.14831124921875016,0.14772242343750008,0,8,,0,1.8881457564575646,9,2197,,26219.33203125,4,38,0.296875,0.1571689203125004,True
0.5,9,31104,1024,0,0,34,34,0.265625,0.0,8192,1.0,3921,0.4786376953125,14934.9716796875,97.3896484375,6.388759574541848,0.09173270298509544,0.4786376953125,0.14831124921875016,0.14772242343750008,0,8,,3,2.0885204081632653,8,2082,,14934.9716796875,4,38,0.296875,0.1571689203125004,True
0.5,10,21349,1024,0,0,34,34,0.265625,0.0,8192,1.0,4038,0.492919921875,21851.662109375,145.251953125,4.735958844366992,0.08923475167178674,0.492919921875,0.14831124921875016,0.14772242343750008,0,8,,0,2.028981917265296,8,2165,,21851.662109375,4,38,0.296875,0.1571689203125004,True
0.5,11,29116,1024,0,0,34,34,0.265625,0.0,8192,1.0,3690,0.450439453125,11022.158203125,86.771484375,7.708137206227404,0.09925225774056885,0.450439453125,0.14831124921875016,0.14772242343750008,0,8,,2,2.2198427758200054,8,2060,,11022.158203125,4,38,0.296875,0.1571689203125004,True
0.5,12,10772,1024,0,0,34,34,0.265625,0.0,8192,1.0,4247,0.5184326171875,25919.0458984375,146.5419921875,3.994613501149627,0.01952495679348029,0.5184326171875,0.14831124921875016,0.14772242343750008,0,8,,1,1.9286387187941592,10,2112,,25919.0458984375,4,38,0.296875,0.1571689203125004,True
0.5,13,18332,1024,0,0,34,34,0.265625,0.0,8192,1.0,4063,0.4959716796875,18467.66796875,125.70703125,5.466683031237414,0.06188893097693173,0.4959716796875,0.14831124921875016,0.14772242343750008,0,8,,1,2.016248153618907,8,2224,,18467.66796875,4,38,0.296875,0.1571689203125004,True
0.5,14,1003,1024,0,0,34,34,0.265625,0.0,8192,1.0,4029,0.4918212890625,18655.0908203125,128.1064453125,5.422829931697249,0.061009067674516755,0.4918212890625,0.14831124921875016,0.14772242343750008,0,8,,2,2.0312810327706057,9,2024,,18655.0908203125,4,38,0.296875,0.1571689203125004,True
0.5,15,22156,1024,0,0,34,34,0.265625,0.0,8192,1.0,4336,0.529296875,28317.474609375,159.7890625,3.6102584109160007,0.03303631014734153,0.529296875,0.14831124921875016,0.14772242343750008,0,8,,1,1.8892733564013842,8,2156,,28317.474609375,4,38,0.296875,0.1571689203125004,True
