         2821394 function calls (2702490 primitive calls) in 5.709 seconds

   Ordered by: cumulative time
   List reduced from 4898 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    3.867    3.867 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\profiling.py:42(compress)
        1    0.041    0.041    3.867    3.867 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:138(encode)
65536/16384    0.069    0.000    3.551    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\module.py:1779(_wrapped_call_impl)
65536/16384    0.105    0.000    3.534    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\module.py:1787(_call_impl)
    16384    0.125    0.000    3.493    0.000 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\model.py:41(forward)
    16384    0.145    0.000    2.534    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:1378(forward)
    185/4    0.001    0.000    1.969    0.492 {built-in method builtins.next}
        4    0.000    0.000    1.969    0.492 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:43(reference_runtime)
        2    0.000    0.000    1.969    0.985 C:\Users\delvi\AppData\Local\Programs\Python\Python311\Lib\contextlib.py:132(__enter__)
        4    0.000    0.000    1.969    0.492 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\__init__.py:1756(use_deterministic_algorithms)
   3658/1    0.049    0.000    1.969    1.969 <frozen importlib._bootstrap>:1165(_find_and_load)
    838/1    0.006    0.000    1.969    1.969 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
   1788/1    0.001    0.000    1.969    1.969 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    148/1    0.000    0.000    1.969    1.969 {built-in method builtins.__import__}
    807/1    0.004    0.000    1.969    1.969 <frozen importlib._bootstrap>:666(_load_unlocked)
    802/1    0.003    0.000    1.969    1.969 <frozen importlib._bootstrap_external>:934(exec_module)
   2405/1    0.250    0.000    1.968    1.968 {built-in method builtins.exec}
        1    0.000    0.000    1.968    1.968 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\_inductor\__init__.py:1(<module>)
        1    0.000    0.000    1.967    1.967 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\_inductor\standalone_compile.py:1(<module>)
