-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                    aten::gru        14.64%      12.629ms        67.17%      57.932ms     452.591us           128  
                 bitlaya_step        13.84%      11.934ms        96.30%      83.051ms     648.834us           128  
                  aten::addmm        10.97%       9.465ms        16.77%      14.464ms      22.601us           640  
                 aten::linear         6.45%       5.565ms        28.47%      24.550ms      38.359us           640  
                  aten::slice         5.73%       4.945ms         7.29%       6.286ms       4.092us          1536  
                 aten::narrow         4.34%       3.742ms        11.63%      10.028ms       6.528us          1536  
             aten::as_strided         3.35%       2.893ms         3.35%       2.893ms       0.753us          3840  
           aten::unsafe_split         3.35%       2.885ms        14.97%      12.913ms      25.220us           512  
                 aten::select         3.26%       2.812ms         3.85%       3.322ms       4.326us           768  
          decision_and_update         3.15%       2.720ms         3.70%       3.192ms      24.937us           128  
                 aten::expand         3.06%       2.636ms         3.55%       3.058ms       4.778us           640  
           aten::index_select         2.87%       2.478ms         6.53%       5.628ms      43.969us           128  
                      aten::t         2.48%       2.138ms         4.67%       4.027ms       6.293us           640  
                  aten::stack         2.43%       2.092ms         3.81%       3.285ms       8.554us           384  
              aten::transpose         2.09%       1.804ms         2.71%       2.335ms       3.040us           768  
                  aten::copy_         2.08%       1.791ms         2.08%       1.791ms       2.798us           640  
              aten::embedding         2.05%       1.768ms         9.26%       7.982ms      62.363us           128  
                   aten::add_         1.47%       1.268ms         1.47%       1.268ms       1.651us           768  
                   aten::view         1.24%       1.067ms         1.24%       1.067ms       0.758us          1408  
           aten::unsafe_chunk         1.13%     973.600us        16.10%      13.886ms      27.122us           512  
                 aten::unbind         1.03%     892.600us         2.97%       2.560ms       6.667us           384  
                  aten::empty         1.03%     892.600us         1.39%       1.198ms       4.662us           257  
                    aten::cat         1.01%     869.800us         1.01%     869.800us       2.265us           384  
                   aten::mul_         0.86%     740.500us         0.86%     740.500us       1.446us           512  
                    aten::add         0.78%     674.000us         0.78%     674.000us       2.633us           256  
               aten::sigmoid_         0.74%     634.300us         0.74%     634.300us       1.239us           512  
                  aten::tanh_         0.67%     575.500us         0.67%     575.500us       2.248us           256  
                    aten::sub         0.66%     571.500us         0.66%     571.500us       2.232us           256  
                  aten::fill_         0.60%     521.700us         0.60%     521.700us       1.017us           513  
             aten::transpose_         0.51%     438.200us         0.77%     660.400us       5.159us           128  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 86.243ms
