image_index,dataset_index,raw_bytes,zlib9_bytes,png9_bytes,bitlaya_file_bytes,bitlaya_payload_bytes,ideal_bits_table,ideal_bits_engine,coder_overhead_bits,roundtrip_exact
0,8132,1024,1002,781,874,840,6693.30872444504,6693.334328794438,26.691275554960157,True
1,8268,1024,902,796,864,830,6615.547537230603,6615.747175078926,24.452462769397243,True
2,719,1024,952,725,861,827,6587.689192989754,6587.693728776429,28.310807010246208,True
3,8237,1024,1019,906,976,942,7509.166632808328,7509.2120716902755,26.83336719167164,True
4,4555,1024,1001,876,931,897,7146.769946486267,7146.756310368531,29.230053513732855,True
5,6651,1024,890,832,854,820,6534.880267735398,6534.978878485001,25.119732264602135,True
6,5650,1024,1002,870,936,902,7191.307779162874,7191.37290480099,24.692220837126115,True
7,9034,1024,995,937,1002,968,7720.222471054203,7720.211176174544,23.777528945796803,True
8,1260,1024,1013,875,902,868,6919.223515428941,6919.275580376857,24.776484571058973,True
9,644,1024,983,820,875,841,6696.057670961841,6695.962066969061,31.942329038159187,True
10,9098,1024,999,890,987,953,7595.7369873942225,7595.773917545992,28.263012605777476,True
11,3760,1024,1035,921,976,942,7504.394039343015,7504.3686631660785,31.60596065698519,True
12,34,1024,1013,797,890,856,6819.362397257064,6819.390613030285,28.637602742935997,True
13,8086,1024,936,834,865,831,6623.486905423808,6623.464883872552,24.51309457619209,True
14,4873,1024,988,814,923,889,7087.5262132418,7087.518323300278,24.47378675819982,True
15,1538,1024,1010,804,889,855,6814.807662910922,6814.806946583552,25.192337089078137,True
16,3355,1024,982,855,986,952,7587.630374410308,7587.565596926877,28.369625589692077,True
17,888,1024,936,879,922,888,7072.389325417602,7072.396945219476,31.610674582398133,True
18,8564,1024,942,750,844,810,6455.730699884836,6455.687448183737,24.269300115163787,True
19,529,1024,887,811,804,770,6129.772562744132,6129.656489276409,30.2274372558677,True
