         1457048 function calls (1358010 primitive calls) in 3.959 seconds

   Ordered by: cumulative time
   List reduced from 237 to 45 due to restriction <45>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
65536/16384    0.105    0.000    3.753    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\module.py:1779(_wrapped_call_impl)
65536/16384    0.115    0.000    3.735    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\module.py:1787(_call_impl)
    16384    0.131    0.000    3.692    0.000 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\model.py:41(forward)
    16384    0.153    0.000    2.642    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:1378(forward)
        1    0.000    0.000    2.090    2.090 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\profiling.py:45(decompress)
        1    0.045    0.045    2.090    2.090 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:171(decode)
    16384    1.895    0.000    1.895    0.000 {built-in method torch.gru}
        1    0.000    0.000    1.868    1.868 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\profiling.py:42(compress)
        1    0.040    0.040    1.868    1.868 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:138(encode)
    16386    0.018    0.000    0.437    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:406(_update_flat_weights)
    16386    0.117    0.000    0.416    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:364(_weights_have_changed)
    16384    0.030    0.000    0.361    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\sparse.py:188(forward)
    16384    0.019    0.000    0.325    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\functional.py:2509(embedding)
    16384    0.301    0.000    0.301    0.000 {built-in method torch.embedding}
    16384    0.035    0.000    0.265    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\linear.py:130(forward)
    16384    0.218    0.000    0.218    0.000 {built-in method torch._C._nn.linear}
   360552    0.160    0.000    0.160    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\module.py:1959(__getattr__)
   131304    0.108    0.000    0.159    0.000 {built-in method builtins.hasattr}
   147756    0.101    0.000    0.144    0.000 {built-in method builtins.getattr}
    16384    0.024    0.000    0.109    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:377(check_forward_args)
    16384    0.036    0.000    0.049    0.000 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:69(_decision)
    65536    0.046    0.000    0.046    0.000 {built-in method torch._C._get_tracing_state}
    16384    0.032    0.000    0.043    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:313(check_input)
    16384    0.038    0.000    0.038    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
    16384    0.036    0.000    0.036    0.000 {method 'fill_' of 'torch._C.TensorBase' objects}
    65536    0.034    0.000    0.034    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    16384    0.024    0.000    0.024    0.000 {method 'item' of 'torch._C.TensorBase' objects}
    16384    0.018    0.000    0.024    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:333(get_expected_hidden_size)
    16384    0.009    0.000    0.018    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:355(check_hidden_size)
    65534    0.012    0.000    0.012    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
    16384    0.008    0.000    0.011    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\_VF.py:27(__getattr__)
33197/33153    0.007    0.000    0.007    0.000 {built-in method builtins.isinstance}
    32766    0.007    0.000    0.007    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\nn\modules\rnn.py:385(permute_hidden)
        2    0.000    0.000    0.007    0.003 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:79(_reference_model)
    16384    0.005    0.000    0.005    0.000 {built-in method math.exp}
    32816    0.004    0.000    0.004    0.000 C:\Users\delvi\Projects\Bittransformer\.venv\Lib\site-packages\torch\_jit_internal.py:104(is_scripting)
    16384    0.004    0.000    0.004    0.000 {built-in method torch._C._has_torch_function_variadic}
    16386    0.004    0.000    0.004    0.000 {built-in method math.isfinite}
        5    0.000    0.000    0.003    0.001 {built-in method builtins.all}
    16384    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
       24    0.000    0.000    0.003    0.000 C:\Users\delvi\Projects\Bittransformer\src\bitlaya\codec.py:82(<genexpr>)
    516/8    0.001    0.000    0.003    0.000 C:\Users\delvi\AppData\Local\Programs\Python\Python311\Lib\copy.py:128(deepcopy)
    106/2    0.000    0.000    0.003    0.001 C:\Users\delvi\AppData\Local\Programs\Python\Python311\Lib\copy.py:259(_reconstruct)
     34/2    0.000    0.000    0.003    0.001 C:\Users\delvi\AppData\Local\Programs\Python\Python311\Lib\copy.py:227(_deepcopy_dict)
       22    0.002    0.000    0.002    0.000 {built-in method torch.isfinite}


