-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                         Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
                 bitlaya_step        15.49%      18.633ms        95.89%     115.345ms     901.135us           128  
                    aten::gru        12.63%      15.188ms        65.82%      79.166ms     618.487us           128  
                  aten::addmm        12.04%      14.484ms        18.08%      21.743ms      33.973us           640  
                 aten::linear         5.68%       6.827ms        29.33%      35.282ms      55.129us           640  
                  aten::slice         5.42%       6.521ms         6.43%       7.729ms       5.032us          1536  
                 aten::narrow         4.60%       5.528ms        11.02%      13.256ms       8.630us          1536  
          decision_and_update         3.42%       4.108ms         4.11%       4.939ms      38.588us           128  
           aten::unsafe_split         3.28%       3.949ms        14.30%      17.205ms      33.604us           512  
                 aten::select         3.27%       3.933ms         3.86%       4.640ms       6.042us           768  
             aten::as_strided         3.09%       3.713ms         3.09%       3.713ms       0.967us          3840  
                 aten::expand         2.88%       3.462ms         3.49%       4.198ms       6.559us           640  
           aten::index_select         2.55%       3.070ms         6.10%       7.340ms      57.348us           128  
                  aten::stack         2.52%       3.030ms         4.06%       4.885ms      12.720us           384  
                      aten::t         2.48%       2.978ms         4.89%       5.882ms       9.191us           640  
                  aten::copy_         2.34%       2.816ms         2.34%       2.816ms       4.399us           640  
              aten::transpose         2.28%       2.746ms         3.03%       3.641ms       4.740us           768  
                   aten::add_         1.62%       1.944ms         1.62%       1.944ms       2.531us           768  
              aten::embedding         1.47%       1.764ms         8.23%       9.900ms      77.345us           128  
                   aten::view         1.38%       1.664ms         1.38%       1.664ms       1.182us          1408  
                    aten::cat         1.19%       1.431ms         1.19%       1.431ms       3.728us           384  
           aten::unsafe_chunk         1.11%       1.340ms        15.42%      18.545ms      36.220us           512  
                 aten::unbind         1.02%       1.226ms         3.04%       3.662ms       9.537us           384  
                   aten::mul_         0.95%       1.140ms         0.95%       1.140ms       2.228us           512  
                  aten::empty         0.89%       1.076ms         1.29%       1.547ms       6.019us           257  
                    aten::add         0.88%       1.057ms         0.88%       1.057ms       4.130us           256  
               aten::sigmoid_         0.84%       1.012ms         0.84%       1.012ms       1.977us           512  
                  aten::fill_         0.75%     898.700us         0.75%     898.700us       1.752us           513  
                  aten::tanh_         0.71%     853.000us         0.71%     853.000us       3.332us           256  
                    aten::sub         0.63%     758.500us         0.63%     758.500us       2.963us           256  
                aten::squeeze         0.49%     590.100us         0.63%     758.900us       5.929us           128  
-----------------------------  ------------  ------------  ------------  ------------  ------------  ------------  
Self CPU time total: 120.285ms
