image_index,dataset_index,codec,quality,file_bytes,file_bpp,mse,psnr_db,ssim,lossless
0,712,raw,,1024,8.0,0.0,,1.0,True
0,712,zlib,,994,7.765625,0.0,,1.0,True
0,712,png,,845,6.6015625,0.0,,1.0,True
0,712,jpeg,1,354,2.765625,600.37109375,20.346605869020724,0.5832707321072882,False
0,712,jpeg,5,366,2.859375,353.1572265625,22.65112263337199,0.7185119348190605,False
0,712,jpeg,10,397,3.1015625,191.4443359375,25.31037839008844,0.807988247547827,False
0,712,jpeg,20,430,3.359375,116.6298828125,27.46270521612738,0.8743097976213926,False
0,712,jpeg,35,478,3.734375,70.7509765625,29.63347922144685,0.9040823891220147,False
0,712,jpeg,50,511,3.9921875,47.04296875,31.405856398266167,0.9414306442864042,False
0,712,jpeg,75,590,4.609375,22.4755859375,34.61369338277729,0.9676679080143079,False
0,712,jpeg,90,745,5.8203125,8.2978515625,38.94114699254657,0.987250166007355,False
0,712,jpeg,95,897,7.0078125,3.1357421875,43.1674001194122,0.9949453863615891,False
0,712,webp,1,110,0.859375,217.8564453125,24.749099477448837,0.7933645217026207,False
0,712,webp,5,128,1.0,134.740234375,26.83583062413514,0.8779445714477728,False
0,712,webp,10,142,1.109375,108.6328125,27.771193373156002,0.8910084047234613,False
0,712,webp,20,164,1.28125,80.8076171875,29.056280601604314,0.9163656136104922,False
0,712,webp,35,200,1.5625,58.9140625,30.42861389727559,0.9363857355586654,False
0,712,webp,50,234,1.828125,36.046875,32.56212740330704,0.9588328400335938,False
0,712,webp,75,292,2.28125,20.859375,34.937790691512035,0.9740572131834814,False
0,712,webp,90,462,3.609375,4.9814453125,41.15724993976535,0.9927647674033855,False
0,712,webp,95,586,4.578125,2.08203125,44.945931171531875,0.9968272249953476,False
1,24774,raw,,1024,8.0,0.0,,1.0,True
1,24774,zlib,,1035,8.0859375,0.0,,1.0,True
1,24774,png,,890,6.953125,0.0,,1.0,True
1,24774,jpeg,1,359,2.8046875,882.5595703125,18.67336332150971,0.5743354685662505,False
1,24774,jpeg,5,379,2.9609375,515.884765625,21.00527657772053,0.7398635674319815,False
1,24774,jpeg,10,413,3.2265625,259.8056640625,23.984317459081346,0.8406820518765012,False
1,24774,jpeg,20,456,3.5625,155.5224609375,26.212872410948638,0.8987324041807966,False
1,24774,jpeg,35,502,3.921875,96.3115234375,28.29402108365236,0.9367135346678139,False
1,24774,jpeg,50,540,4.21875,70.9130859375,29.623539758111512,0.9541326671328766,False
1,24774,jpeg,75,634,4.953125,31.2880859375,33.17701365066166,0.9814157885716783,False
1,24774,jpeg,90,798,6.234375,9.669921875,38.27657395512257,0.9933705006389641,False
1,24774,jpeg,95,966,7.546875,3.1513671875,43.14581352103818,0.9975827110372745,False
1,24774,webp,1,122,0.953125,276.7763671875,23.709513561461662,0.838573619023531,False
1,24774,webp,5,150,1.171875,181.4111328125,25.544164256042556,0.913046889552038,False
1,24774,webp,10,164,1.28125,144.1943359375,26.541321595649514,0.929992319868177,False
1,24774,webp,20,192,1.5,94.884765625,28.35883871687267,0.9517479316459159,False
1,24774,webp,35,236,1.84375,57.556640625,30.529849230773074,0.9671515654421845,False
1,24774,webp,50,274,2.140625,37.9677734375,32.336652315227,0.9783814399897781,False
1,24774,webp,75,338,2.640625,19.65234375,35.19666008854011,0.9879754313319692,False
1,24774,webp,90,516,4.03125,4.701171875,41.40874231568711,0.9969153015174959,False
1,24774,webp,95,644,5.03125,1.9775390625,45.16955289957035,0.9986643832577455,False
2,45142,raw,,1024,8.0,0.0,,1.0,True
2,45142,zlib,,968,7.5625,0.0,,1.0,True
2,45142,png,,956,7.46875,0.0,,1.0,True
2,45142,jpeg,1,350,2.734375,695.5908203125,19.70726518868364,0.43867471764886784,False
