threshold,image_index,raw_bytes,zlib_bytes,png_bytes,explicit_bits,omitted_fraction,payload_bytes,file_bytes,header_and_checksum_bytes,payload_bpp,file_bpp,raw_to_file_ratio,encode_seconds,decode_seconds,mse,mae,psnr_db,lossless,bit_error_rate
0.5,0,1024,994,845,0,1.0,0,415,415,0.0,3.2421875,2.4674698795180725,5.109505700005684,4.639276100002462,19308.2880859375,131.8701171875,5.273365908580079,False,0.5386962890625
0.5,1,1024,1035,890,0,1.0,0,415,415,0.0,3.2421875,2.4674698795180725,4.652447499996924,4.683985900002881,24084.98828125,145.427734375,4.313339215269737,False,0.5177001953125
0.6,0,1024,994,845,1041,0.8729248046875,131,549,418,1.0166015625,4.2890625,1.8652094717668488,4.471489700001257,5.187892300004023,2001.705078125,34.736328125,15.116802699314103,False,0.4168701171875
0.6,1,1024,1035,890,1032,0.8740234375,129,547,418,1.0078125,4.2734375,1.8720292504570384,5.512003799995,5.013450400001602,24690.673828125,147.453125,4.205474185324457,False,0.4527587890625
0.75,0,1024,994,845,7344,0.103515625,918,1337,419,7.171875,10.4453125,0.7658937920718025,4.734183100001246,4.670565499996883,393.3349609375,5.2294921875,22.183178111847205,False,0.0301513671875
0.75,1,1024,1035,890,7306,0.108154296875,914,1333,419,7.134765625,10.4140625,0.768192048012003,4.520299200004956,4.248894299998938,592.703125,7.568359375,20.402431438251497,False,0.0306396484375
0.9,0,1024,994,845,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,4.69583650000277,4.745140699997137,0.0,0.0,,True,0.0
0.9,1,1024,1035,890,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,4.924365400001989,5.464473599997291,0.0,0.0,,True,0.0
0.95,0,1024,994,845,8192,0.0,1024,1443,419,8.0,11.2734375,0.7096327096327096,5.331171900004847,4.288686799998686,0.0,0.0,,True,0.0
0.95,1,1024,1035,890,8192,0.0,1024,1443,419,8.0,11.2734375,0.7096327096327096,4.983763900003396,4.635888200005866,0.0,0.0,,True,0.0
1.0,0,1024,994,845,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,4.612550899997586,5.142946799998754,0.0,0.0,,True,0.0
1.0,1,1024,1035,890,8192,0.0,1024,1442,418,8.0,11.265625,0.710124826629681,5.048232300003292,4.040050499999779,0.0,0.0,,True,0.0
